lot_id,run_id,panel_id,tool_id,chamber,sample_id,x_index,y_index,x_mm,y_mm,zone,source_temp_c,substrate_temp_c,pressure_mTorr,oxygen_flow_sccm,nitrogen_flow_sccm,deposition_rate_a_s,target_thickness_nm,thickness_nm,thickness_error_nm,abs_error_nm,sheet_resistance_ohm_sq,luminance_cd_m2,voltage_v,particle_count,dark_spot_count,defect_type,pass_fail,yield_score
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_00_00,0,0,-24.7,-16.38,edge,119.796,82.283,2.7586,18.075,42.314,1.4378,100.0,101.579,1.579,1.579,14.399,767.99,3.144,0,0,none,pass,96.965
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_01_00,1,0,-24.18,-16.38,edge,120.062,82.158,2.7693,18.284,42.236,1.4217,100.0,102.129,2.129,2.129,14.993,776.53,3.2059,0,0,none,pass,95.536
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_02_00,2,0,-23.66,-16.38,edge,120.564,82.019,2.766,18.14,42.064,1.428,100.0,101.448,1.448,1.448,15.221,774.63,3.2146,2,0,particle,fail,86.346
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_03_00,3,0,-23.14,-16.38,edge,120.02,81.897,2.7621,18.186,42.308,1.4383,100.0,101.409,1.409,1.409,14.831,781.18,3.1948,0,0,none,pass,97.49
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_04_00,4,0,-22.62,-16.38,edge,119.829,82.856,2.7507,18.347,42.223,1.4113,100.0,102.123,2.123,2.123,15.262,775.55,3.1889,0,0,none,pass,96.904
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_05_00,5,0,-22.1,-16.38,edge,118.954,82.492,2.7546,18.307,42.3,1.3885,100.0,102.001,2.001,2.001,14.624,751.54,3.2018,0,0,none,pass,94.669
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_06_00,6,0,-21.58,-16.38,edge,119.814,82.087,2.7472,18.284,42.233,1.3928,100.0,101.898,1.898,1.898,14.468,779.84,3.1894,0,0,none,pass,96.563
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_07_00,7,0,-21.06,-16.38,edge,120.179,82.212,2.7421,18.266,42.389,1.431,100.0,101.358,1.358,1.358,15.041,781.39,3.1533,0,1,none,pass,92.564
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_08_00,8,0,-20.54,-16.38,edge,119.318,82.253,2.7613,18.212,42.26,1.4143,100.0,101.776,1.776,1.776,14.779,778.31,3.2115,0,0,none,pass,94.827
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_09_00,9,0,-20.02,-16.38,edge,119.877,82.028,2.7763,18.343,42.374,1.4148,100.0,102.006,2.006,2.006,14.862,762.91,3.1773,1,0,none,pass,93.295
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_10_00,10,0,-19.5,-16.38,edge,117.773,82.906,2.7494,18.372,41.958,1.3601,100.0,102.576,2.576,2.576,14.668,755.42,3.1764,0,0,none,pass,95.441
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_11_00,11,0,-18.98,-16.38,edge,119.898,81.964,2.7834,18.292,42.33,1.4203,100.0,102.176,2.176,2.176,14.828,755.18,3.177,1,0,none,pass,93.172
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_12_00,12,0,-18.46,-16.38,edge,119.964,82.371,2.7572,18.443,42.419,1.4197,100.0,102.121,2.121,2.121,14.913,756.3,3.213,1,0,none,pass,93.087
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_13_00,13,0,-17.94,-16.38,edge,119.089,82.538,2.7612,18.206,42.176,1.4147,100.0,102.313,2.313,2.313,14.655,768.13,3.1969,0,0,none,pass,95.702
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_14_00,14,0,-17.42,-16.38,edge,119.671,82.693,2.7683,18.284,42.229,1.4174,100.0,101.762,1.762,1.762,14.997,731.54,3.2077,3,0,particle,fail,84.401
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_15_00,15,0,-16.9,-16.38,edge,119.623,82.195,2.7671,18.283,42.23,1.3992,100.0,102.808,2.808,2.808,14.801,777.2,3.2202,0,0,none,pass,94.906
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_16_00,16,0,-16.38,-16.38,edge,118.361,82.47,2.7771,18.237,42.286,1.3922,100.0,102.971,2.971,2.971,14.578,730.63,3.2077,2,0,particle,fail,82.767
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_17_00,17,0,-15.86,-16.38,edge,119.753,81.99,2.7502,18.224,42.416,1.4094,100.0,103.581,3.581,3.581,14.849,740.66,3.1823,1,0,none,fail,90.95
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_18_00,18,0,-15.34,-16.38,edge,119.23,82.457,2.7804,18.2,42.073,1.4033,100.0,102.652,2.652,2.652,14.612,753.96,3.2257,1,0,none,pass,93.189
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_19_00,19,0,-14.82,-16.38,edge,118.823,82.384,2.774,18.295,42.212,1.4051,100.0,102.78,2.78,2.78,14.984,742.86,3.2377,2,0,particle,fail,83.758
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_20_00,20,0,-14.3,-16.38,edge,119.915,82.292,2.7656,18.34,42.441,1.4108,100.0,102.339,2.339,2.339,14.357,763.67,3.2086,0,0,none,pass,95.106
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_21_00,21,0,-13.78,-16.38,edge,118.792,82.795,2.7696,18.254,42.34,1.3989,100.0,101.756,1.756,1.756,14.882,775.7,3.1908,0,0,none,pass,96.869
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_22_00,22,0,-13.26,-16.38,edge,118.994,83.0,2.7398,18.265,42.355,1.3997,100.0,103.076,3.076,3.076,14.435,743.96,3.1813,0,0,none,pass,95.047
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_23_00,23,0,-12.74,-16.38,edge,120.044,82.616,2.7634,18.409,42.32,1.4257,100.0,102.546,2.546,2.546,14.733,766.3,3.1733,0,0,none,pass,95.382
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_24_00,24,0,-12.22,-16.38,edge,118.17,82.373,2.7559,18.305,42.42,1.3695,100.0,102.933,2.933,2.933,14.907,752.9,3.209,0,0,none,pass,93.757
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_25_00,25,0,-11.7,-16.38,edge,119.667,82.75,2.7814,18.231,42.395,1.42,100.0,102.707,2.707,2.707,14.81,750.0,3.197,0,0,none,pass,95.176
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_26_00,26,0,-11.18,-16.38,edge,118.928,82.259,2.7634,18.267,42.296,1.4025,100.0,102.794,2.794,2.794,14.379,759.19,3.228,0,0,none,pass,94.532
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_27_00,27,0,-10.66,-16.38,edge,120.83,82.502,2.7676,18.251,42.237,1.4297,100.0,103.072,3.072,3.072,14.755,732.99,3.2518,1,0,none,pass,91.853
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_28_00,28,0,-10.14,-16.38,edge,116.988,82.688,2.7786,18.173,42.177,1.3694,100.0,102.753,2.753,2.753,14.833,774.36,3.2125,0,0,none,pass,94.717
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_29_00,29,0,-9.62,-16.38,edge,120.424,82.212,2.769,18.223,42.177,1.4319,100.0,102.89,2.89,2.89,14.771,733.39,3.1807,1,0,none,pass,93.16
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_30_00,30,0,-9.1,-16.38,edge,119.752,82.924,2.7563,18.123,42.329,1.4101,100.0,102.421,2.421,2.421,14.616,747.65,3.2379,1,0,none,pass,92.583
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_31_00,31,0,-8.58,-16.38,edge,119.422,82.368,2.7907,18.202,42.351,1.3923,100.0,102.422,2.422,2.422,14.722,764.76,3.211,0,0,none,pass,95.203
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_32_00,32,0,-8.06,-16.38,edge,118.405,82.62,2.7922,18.276,42.372,1.3917,100.0,103.02,3.02,3.02,14.678,759.02,3.178,0,0,none,pass,93.286
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_33_00,33,0,-7.54,-16.38,edge,118.938,82.568,2.7399,18.182,42.53,1.4149,100.0,101.649,1.649,1.649,14.896,773.02,3.1864,0,0,none,pass,96.65
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_34_00,34,0,-7.02,-16.38,edge,120.331,82.523,2.7624,18.171,42.119,1.4378,100.0,103.253,3.253,3.253,14.532,762.83,3.2506,0,0,none,pass,92.852
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_35_00,35,0,-6.5,-16.38,edge,120.138,82.21,2.8066,18.137,42.288,1.4289,100.0,103.08,3.08,3.08,14.261,745.07,3.2036,0,0,none,pass,94.436
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_36_00,36,0,-5.98,-16.38,edge,119.696,83.055,2.7604,18.173,42.276,1.4108,100.0,101.28,1.28,1.28,14.984,765.51,3.2183,2,0,particle,fail,87.285
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_37_00,37,0,-5.46,-16.38,edge,119.363,82.949,2.7884,18.107,42.332,1.4108,100.0,103.237,3.237,3.237,14.782,731.79,3.2021,0,0,none,pass,94.064
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_38_00,38,0,-4.94,-16.38,edge,119.176,82.718,2.7797,18.153,42.176,1.4133,100.0,102.478,2.478,2.478,14.993,763.19,3.2156,0,0,none,pass,96.033
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_39_00,39,0,-4.42,-16.38,edge,120.196,82.481,2.7815,18.086,42.425,1.4101,100.0,102.029,2.029,2.029,14.819,763.35,3.1595,0,0,none,pass,96.09
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_40_00,40,0,-3.9,-16.38,edge,120.125,82.666,2.7661,18.142,42.132,1.4325,100.0,101.958,1.958,1.958,14.704,774.39,3.1671,0,0,none,pass,95.36
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_41_00,41,0,-3.38,-16.38,edge,120.477,82.88,2.7776,18.026,42.376,1.4334,100.0,101.765,1.765,1.765,15.035,761.28,3.2104,0,0,none,pass,96.035
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_42_00,42,0,-2.86,-16.38,edge,119.689,82.932,2.7648,18.217,42.366,1.4375,100.0,101.683,1.683,1.683,14.712,765.3,3.1699,0,0,none,pass,96.16
LOT26A_01,RUN_2026_05_22_A,PNL_A01,TOOL_DP_07,C1,PNL_A01_43_00,43,0,-2.34,-16.38,edge,119.169,82.699,2.7642,18.084,42.18,1.409,100.0,101.74,1.74,1.74,15.192,773.22,3.1883,0,0,none,pass,96.555
